sku,name,category,price_gbp,file_path,drive_folder,drive_filename,description,thumbnail
TSO-CP-001,Carpentry & Joinery RAMS,Health & Safety,9.00,,RAMS,RAMS-Carpentry-TSO-CP-001-1.docx,"Method statement and risk assessment for carpentry and joinery operations. Covers first and second fix, manual handling, power tool safety, working at height and material storage. 12 hazards assessed with colour-coded risk ratings. PPE schedule and operative sign-off included. Instant Word download.",groundworks-rams.png
TSO-BW-001,Brickwork & Blockwork RAMS,Health & Safety,9.00,,RAMS,RAMS-Brickwork-TSO-BW-001.docx,"Method statement and risk assessment for brickwork and blockwork operations. Covers setting out, mortar mixing, scaffold use, manual handling and material storage. 12 hazards assessed with colour-coded risk ratings. Operative sign-off record included. Instant Word download.",groundworks-rams.png
TSO-PS-001,Plastering & Drylining RAMS,Health & Safety,9.00,,RAMS,RAMS-Plastering-TSO-PS-001.docx,"Method statement and risk assessment for plastering and drylining operations. Covers substrate preparation, COSHH for plaster products, working at height on steps and trestles, and manual handling. PPE schedule and operative sign-off included. Instant Word download.",groundworks-rams.png
TSO-PD-001,Painting & Decorating RAMS,Health & Safety,9.00,,RAMS,RAMS-Painting-TSO-PD-001.docx,"Method statement and risk assessment for painting and decorating works. Covers surface preparation, COSHH for paints and solvents, working at height, ventilation requirements and waste disposal. Colour-coded risk assessment and operative sign-off included. Instant Word download.",groundworks-rams.png
TSO-PM-001,Plumbing & Mechanical RAMS,Health & Safety,9.00,,RAMS,RAMS-Plumbing-TSO-PL-001.docx,"Method statement and risk assessment for plumbing and mechanical installations. Covers pipe installation, hot works, pressure testing, working in confined spaces and asbestos awareness. PPE schedule and operative sign-off sheet included. Instant Word download.",groundworks-rams.png
TSO-SE-001,Structural Steelwork RAMS,Health & Safety,12.00,,RAMS,RAMS-SteelErection-TSO-SE-001.docx,"Comprehensive method statement and risk assessment for structural steel erection. Covers lifting operations, crane management, connection procedures, working at height and exclusion zones. References BS EN 1090 and Work at Height Regulations 2005. Instant Word download.",groundworks-rams.png
TSO-EL-001,Electrical First Fix RAMS,Health & Safety,9.00,,RAMS,RAMS-Electrical-TSO-EL-001.docx,"Method statement and risk assessment for electrical first fix operations. Covers safe isolation, cable installation, working in ceiling voids and floor zones, and power tool safety. 12 hazards assessed with colour-coded risk ratings. Operative sign-off included. Instant Word download.",groundworks-rams.png
TSO-DR-001,Drainage & Utilities RAMS,Health & Safety,9.00,,RAMS,RAMS-Drainage-TSO-DR-001.docx,"Method statement and risk assessment for drainage and utilities installation. Covers CAT scan requirements, services avoidance, pipe laying, backfilling and compaction testing. Includes exclusion zones and operative sign-off record. Instant Word download.",groundworks-rams.png
TSO-PCI-001,Pre-Construction Information,CDM & Construction Phase,12.00,,CDM Pack,CDM-02-PreConstructionInformation.docx,"Pre-construction information pack template compliant with CDM 2015. Covers existing site hazards, underground services, ground conditions, asbestos surveys, structural information and client requirements. Required to be provided by the client or principal designer before construction begins. Instant Word download.",cdm-construction-phase-plan.png
TSO-CC-001,Competency Checklist,CDM & Construction Phase,8.00,,CDM Pack,CDM-03-CompetencyChecklist.docx,"CDM 2015 competency checklist for assessing contractors and designers before appointment. Covers skills, knowledge, experience and organisational capability. Use when appointing principal contractors, principal designers and specialist subcontractors. Documents your due diligence. Instant Word download.",cdm-construction-phase-plan.png
TSO-F10-001,F10 Notification Guide,CDM & Construction Phase,8.00,,CDM Pack,CDM-04-F10NotificationGuide.docx,"Step-by-step guide to completing and submitting an F10 notification to the HSE for notifiable construction projects. Covers when notification is required, what information is needed and how to submit online. Includes a checklist of information to gather before you start. Instant Word download.",cdm-construction-phase-plan.png
TSO-DRR-001,Designer Risk Register,CDM & Construction Phase,8.00,,CDM Pack,CDM-05-DesignerRiskRegister.docx,Designer risk register template for capturing and communicating design risks under CDM 2015. Designers have a legal duty to eliminate or reduce foreseeable risks through design. This register documents that process and communicates residual risks to the principal contractor. Instant Word download.,cdm-construction-phase-plan.png
TSO-SIR-001,Site Induction Record,CDM & Construction Phase,5.00,,CDM Pack,CDM-07-SiteInductionRecord.docx,"CDM-compliant site induction record for signing on new operatives. Covers site rules, emergency procedures, first aid arrangements, hazard awareness and PPE requirements. Everyone on site must sign it before starting work. Gold dust if there is ever an HSE inspection or incident. Instant Word download.",cdm-construction-phase-plan.png
